VariableMeaning,VariableName,VariableClass
clim_01_half_d,clim1,0
clim_02_half_d,clim2,0
clim_03_half_d,clim3,0
clim_04_half_d,clim4,0
clim_05_half_d,clim5,0
clim_06_half_d,clim6,0
clim_07_half_d,clim7,0
clim_09_half_d,clim8,0
clim_10_half_d,clim9,0
clim_11_half_d,clim10,0
clim_12_half_d,clim11,0
clim_13_half_d,clim12,0
clim_14_half_d,clim13,0
clim_15_half_d,clim14,0
clim_16_half_d,clim15,0
clim_17_half_d,clim16,0
clim_18_half_d,clim17,0
clim_19_half_d,clim18,0
lenz-annual-water-deficit.tif.resample,clim19,0
lenz-monthly-water-balance-ratio.tif.resample,clim20,0
freshwaterdist,geo1,0
NZL_Aspect_resample_300,geo2,0
NZL_DEM_resample_300,geo3,0
NZL_Hillshade_resample_300,geo4,0
NZL_Slope_resample300,geo5,0
seadist,geo6,0
EVI_autumn,modis1,0
EVI_Aut_Sum,modis2,0
EVI_spring,modis3,0
EVI_Spr_Aut,modis4,0
EVI_summer,modis5,0
EVI_Sum_Spr,modis6,0
EVI_Sum_Win,modis7,0
EVI_winter,modis8,0
Lai_autumn,modis9,0
Lai_aut_sum,modis10,0
Lai_spring,modis11,0
Lai_spr_aut,modis12,0
Lai_summer,modis13,0
Lai_sum_spr,modis14,0
Lai_sum_win,modis15,0
Lai_winter,modis16,0
LST_Day_1km_autumn,modis17,0
LST_Day_1km_aut_sum,modis18,0
LST_Day_1km_spring,modis19,0
LST_Day_1km_spr_aut,modis20,0
LST_Day_1km_summer,modis21,0
LST_Day_1km_sum_spr,modis22,0
LST_Day_1km_sum_win,modis23,0
LST_Day_1km_winter,modis24,0
LST_Day_Night_1km_autumn,modis25,0
LST_Day_Night_1km_spring,modis26,0
LST_Day_Night_1km_summer,modis27,0
LST_Day_Night_1km_winter,modis28,0
LST_Night_1km_autumn,modis29,0
LST_Night_1km_aut_sum,modis30,0
LST_Night_1km_spring,modis31,0
LST_Night_1km_spr_aut,modis32,0
LST_Night_1km_summer,modis33,0
LST_Night_1km_sum_spr,modis34,0
LST_Night_1km_sum_win,modis35,0
LST_Night_1km_winter,modis36,0
NDSI_Snow_Cover_winter,modis37,0
Percent_NonVegetated_autumn,modis38,0
Percent_Tree_Cover_autumn,modis39,0
sur_refl_b01_autumn,modis40,0
sur_refl_b01_spring,modis41,0
sur_refl_b01_summer,modis42,0
sur_refl_b01_winter,modis43,0
sur_refl_b02_autumn,modis44,0
sur_refl_b02_spring,modis45,0
sur_refl_b02_summer,modis46,0
sur_refl_b02_winter,modis47,0
sur_refl_b03_autumn,modis48,0
sur_refl_b03_spring,modis49,0
sur_refl_b03_summer,modis50,0
sur_refl_b03_winter,modis51,0
sur_refl_b04_autumn,modis52,0
sur_refl_b04_spring,modis53,0
sur_refl_b04_summer,modis54,0
sur_refl_b04_winter,modis55,0
sur_refl_b05_autumn,modis56,0
sur_refl_b05_spring,modis57,0
sur_refl_b05_summer,modis58,0
sur_refl_b05_winter,modis59,0
sur_refl_b06_autumn,modis60,0
sur_refl_b06_spring,modis61,0
sur_refl_b06_summer,modis62,0
sur_refl_b06_winter,modis63,0
sur_refl_b07_autumn,modis64,0
sur_refl_b07_spring,modis65,0
sur_refl_b07_summer,modis66,0
sur_refl_b07_winter,modis67,0
lenz-chemical-limitations-to-plant-growth.tif.resample,soil1,0
lenz-exchangeable-calcium.tif.resample,soil2,0
lenz-induration-soil-hardness.tif.resample,soil3,0
lenz-soil-drainage.tif.resample,soil4,0
mean-annual-soil-temperature-styear.tif.resample,soil5,0
nitrate-leaching.tif.resample,soil6,0
water-yield.tif.resample,soil7,0
NZL_Landsat_Band1,ls1,0
NZL_Landsat_Band1_CV,ls2,0
NZL_Landsat_Band1_Kurtosis,ls3,0
NZL_Landsat_Band1_Skewness,ls4,0
NZL_Landsat_Band1_STD,ls5,0
NZL_Landsat_Band2,ls6,0
NZL_Landsat_Band2_CV,ls7,0
NZL_Landsat_Band2_Kurtosis,ls8,0
NZL_Landsat_Band2_Skewness,ls9,0
NZL_Landsat_Band2_STD,ls10,0
NZL_Landsat_Band3,ls11,0
NZL_Landsat_Band3_CV,ls12,0
NZL_Landsat_Band3_Kurtosis,ls13,0
NZL_Landsat_Band3_Skewness,ls14,0
NZL_Landsat_Band3_STD,ls15,0
NZL_Landsat_Band4,ls16,0
NZL_Landsat_Band432_hsv3,ls17,0
NZL_Landsat_Band432_ycbcr1,ls18,0
NZL_Landsat_Band432_ycbcr2,ls19,0
NZL_Landsat_Band432_ycbcr3,ls20,0
NZL_Landsat_Band4_CV,ls21,0
NZL_Landsat_Band4_Kurtosis,ls22,0
NZL_Landsat_Band4_Skewness,ls23,0
NZL_Landsat_Band4_STD,ls24,0
NZL_Landsat_Band5,ls25,0
NZL_Landsat_Band543_hsv3,ls26,0
NZL_Landsat_Band543_ycbcr1,ls27,0
NZL_Landsat_Band543_ycbcr2,ls28,0
NZL_Landsat_Band543_ycbcr3,ls29,0
NZL_Landsat_Band571_hsv3,ls30,0
NZL_Landsat_Band571_ycbcr1,ls31,0
NZL_Landsat_Band571_ycbcr2,ls32,0
NZL_Landsat_Band571_ycbcr3,ls33,0
NZL_Landsat_Band5_CV,ls34,0
NZL_Landsat_Band5_Kurtosis,ls35,0
NZL_Landsat_Band5_Skewness,ls36,0
NZL_Landsat_Band5_STD,ls37,0
NZL_Landsat_Band6,ls38,0
NZL_Landsat_Band652_hsv3,ls39,0
NZL_Landsat_Band652_ycbcr1,ls40,0
NZL_Landsat_Band652_ycbcr2,ls41,0
NZL_Landsat_Band652_ycbcr3,ls42,0
NZL_Landsat_Band654_hsv3,ls43,0
NZL_Landsat_Band654_ycbcr1,ls44,0
NZL_Landsat_Band654_ycbcr2,ls45,0
NZL_Landsat_Band654_ycbcr3,ls46,0
NZL_Landsat_Band6_CV,ls47,0
NZL_Landsat_Band6_Kurtosis,ls48,0
NZL_Landsat_Band6_Skewness,ls49,0
NZL_Landsat_Band6_STD,ls50,0
NZL_Landsat_Band7,ls51,0
NZL_Landsat_Band753_hsv3,ls52,0
NZL_Landsat_Band753_ycbcr1,ls53,0
NZL_Landsat_Band753_ycbcr2,ls54,0
NZL_Landsat_Band753_ycbcr3,ls55,0
NZL_Landsat_Band754_hsv3,ls56,0
NZL_Landsat_Band754_ycbcr1,ls57,0
NZL_Landsat_Band754_ycbcr2,ls58,0
NZL_Landsat_Band754_ycbcr3,ls59,0
NZL_Landsat_Band7_CV,ls60,0
NZL_Landsat_Band7_Kurtosis,ls61,0
NZL_Landsat_Band7_Skewness,ls62,0
NZL_Landsat_Band7_STD,ls63,0
